分类变量,菜品编号,时段,F值,P值,样本数,组数,显著性(α=0.05)
星期,全部,全部,47.6917,0.0,1200,5,显著
星期,D01,午餐,15.2699,0.0,60,5,显著
星期,D01,晚餐,13.6065,0.0,60,5,显著
星期,D02,午餐,16.4363,0.0,60,5,显著
星期,D02,晚餐,13.5705,0.0,60,5,显著
星期,D03,午餐,11.9938,0.0,60,5,显著
星期,D03,晚餐,15.942,0.0,60,5,显著
星期,D04,午餐,14.0483,0.0,60,5,显著
星期,D04,晚餐,21.2203,0.0,60,5,显著
星期,D05,午餐,14.7206,0.0,60,5,显著
星期,D05,晚餐,24.9314,0.0,60,5,显著
星期,D06,午餐,5.3355,0.001054,60,5,显著
星期,D06,晚餐,14.0799,0.0,60,5,显著
星期,D07,午餐,14.9316,0.0,60,5,显著
星期,D07,晚餐,20.306,0.0,60,5,显著
星期,D08,午餐,13.9324,0.0,60,5,显著
星期,D08,晚餐,17.1699,0.0,60,5,显著
星期,D09,午餐,11.4808,1e-06,60,5,显著
星期,D09,晚餐,17.6875,0.0,60,5,显著
星期,D10,午餐,11.8087,1e-06,60,5,显著
星期,D10,晚餐,12.8278,0.0,60,5,显著
天气,全部,全部,2.5508,0.037684,1200,5,显著
天气,D01,午餐,0.3742,0.826028,60,5,不显著
天气,D01,晚餐,1.5165,0.210084,60,5,不显著
天气,D02,午餐,0.6727,0.61372,60,5,不显著
天气,D02,晚餐,0.6309,0.64256,60,5,不显著
天气,D03,午餐,0.5843,0.675303,60,5,不显著
天气,D03,晚餐,0.4986,0.73679,60,5,不显著
天气,D04,午餐,0.6217,0.648938,60,5,不显著
天气,D04,晚餐,0.3685,0.830017,60,5,不显著
天气,D05,午餐,0.3846,0.818705,60,5,不显著
天气,D05,晚餐,0.318,0.864746,60,5,不显著
天气,D06,午餐,0.7526,0.560614,60,5,不显著
天气,D06,晚餐,0.3461,0.845616,60,5,不显著
天气,D07,午餐,0.3629,0.833976,60,5,不显著
天气,D07,晚餐,0.5526,0.697895,60,5,不显著
天气,D08,午餐,1.0005,0.415253,60,5,不显著
天气,D08,晚餐,0.8483,0.500783,60,5,不显著
天气,D09,午餐,0.3371,0.85182,60,5,不显著
天气,D09,晚餐,0.3581,0.837308,60,5,不显著
天气,D10,午餐,0.871,0.48729,60,5,不显著
天气,D10,晚餐,0.8027,0.528715,60,5,不显著
是否考试周,全部,全部,5.0543,0.024745,1200,2,显著
是否考试周,D01,午餐,1.1286,0.292486,60,2,不显著
是否考试周,D01,晚餐,2.0305,0.159526,60,2,不显著
是否考试周,D02,午餐,8.2487,0.005687,60,2,显著
是否考试周,D02,晚餐,6.3905,0.014219,60,2,显著
是否考试周,D03,午餐,0.7427,0.39235,60,2,不显著
是否考试周,D03,晚餐,2.3016,0.13467,60,2,不显著
是否考试周,D04,午餐,0.2341,0.630336,60,2,不显著
是否考试周,D04,晚餐,0.0598,0.807627,60,2,不显著
是否考试周,D05,午餐,0.0623,0.803802,60,2,不显著
是否考试周,D05,晚餐,0.0101,0.920434,60,2,不显著
是否考试周,D06,午餐,0.5409,0.465042,60,2,不显著
是否考试周,D06,晚餐,0.0763,0.783367,60,2,不显著
是否考试周,D07,午餐,0.0512,0.821711,60,2,不显著
是否考试周,D07,晚餐,0.0927,0.761892,60,2,不显著
是否考试周,D08,午餐,2.4711,0.121395,60,2,不显著
是否考试周,D08,晚餐,3.1058,0.083281,60,2,不显著
是否考试周,D09,午餐,3.6515,0.060965,60,2,不显著
是否考试周,D09,晚餐,1.5513,0.217952,60,2,不显著
是否考试周,D10,午餐,9.104,0.003784,60,2,显著
是否考试周,D10,晚餐,9.9992,0.002491,60,2,显著
是否离校高峰前一日,全部,全部,84.823,0.0,1200,2,显著
是否离校高峰前一日,D01,午餐,15.5172,0.000222,60,2,显著
是否离校高峰前一日,D01,晚餐,18.7296,6e-05,60,2,显著
是否离校高峰前一日,D02,午餐,17.3571,0.000104,60,2,显著
是否离校高峰前一日,D02,晚餐,14.2766,0.000374,60,2,显著
是否离校高峰前一日,D03,午餐,24.8825,6e-06,60,2,显著
是否离校高峰前一日,D03,晚餐,19.2868,4.8e-05,60,2,显著
是否离校高峰前一日,D04,午餐,20.6693,2.8e-05,60,2,显著
是否离校高峰前一日,D04,晚餐,16.518,0.000147,60,2,显著
是否离校高峰前一日,D05,午餐,25.7496,4e-06,60,2,显著
是否离校高峰前一日,D05,晚餐,14.5648,0.000331,60,2,显著
是否离校高峰前一日,D06,午餐,15.2296,0.00025,60,2,显著
是否离校高峰前一日,D06,晚餐,19.465,4.5e-05,60,2,显著
是否离校高峰前一日,D07,午餐,16.2633,0.000163,60,2,显著
是否离校高峰前一日,D07,晚餐,14.3033,0.00037,60,2,显著
是否离校高峰前一日,D08,午餐,18.4107,6.8e-05,60,2,显著
是否离校高峰前一日,D08,晚餐,23.7798,9e-06,60,2,显著
是否离校高峰前一日,D09,午餐,17.7748,8.8e-05,60,2,显著
是否离校高峰前一日,D09,晚餐,19.6809,4.1e-05,60,2,显著
是否离校高峰前一日,D10,午餐,21.1263,2.4e-05,60,2,显著
是否离校高峰前一日,D10,晚餐,16.5483,0.000145,60,2,显著
是否大型活动,全部,全部,1.9671,0.161014,1200,2,不显著
是否大型活动,D01,午餐,1.043,0.311366,60,2,不显著
是否大型活动,D01,晚餐,0.1251,0.724855,60,2,不显著
是否大型活动,D02,午餐,1.1012,0.298365,60,2,不显著
是否大型活动,D02,晚餐,0.8391,0.363437,60,2,不显著
是否大型活动,D03,午餐,0.0954,0.758547,60,2,不显著
是否大型活动,D03,晚餐,0.5082,0.478757,60,2,不显著
是否大型活动,D04,午餐,0.5968,0.442939,60,2,不显著
是否大型活动,D04,晚餐,0.2952,0.588974,60,2,不显著
是否大型活动,D05,午餐,0.6878,0.410329,60,2,不显著
是否大型活动,D05,晚餐,0.5857,0.447191,60,2,不显著
是否大型活动,D06,午餐,0.0336,0.8553,60,2,不显著
是否大型活动,D06,晚餐,0.6392,0.427256,60,2,不显著
是否大型活动,D07,午餐,1.1011,0.298382,60,2,不显著
是否大型活动,D07,晚餐,0.0018,0.9662,60,2,不显著
是否大型活动,D08,午餐,0.1479,0.701986,60,2,不显著
是否大型活动,D08,晚餐,0.0021,0.963387,60,2,不显著
是否大型活动,D09,午餐,0.2158,0.644001,60,2,不显著
是否大型活动,D09,晚餐,1.3951,0.242361,60,2,不显著
是否大型活动,D10,午餐,0.3294,0.568238,60,2,不显著
是否大型活动,D10,晚餐,1.353,0.249516,60,2,不显著
