日期,菜品编号,菜品名称,时段,星期,是否售罄,真实需求,预测值,预测残差
2026-04-20,D01,宫保鸡丁,午餐,周一,是,189.0,158.01610717761977,30.983892822380227
2026-04-20,D01,宫保鸡丁,晚餐,周一,是,142.0,121.4455644521134,20.554435547886598
2026-04-20,D02,红烧肉,午餐,周一,否,123.0,118.72425530482342,4.275744695176584
2026-04-20,D02,红烧肉,晚餐,周一,否,98.0,90.36669801990449,7.63330198009551
2026-04-20,D03,鱼香肉丝,午餐,周一,是,162.0,144.1428641239899,17.85713587601009
2026-04-20,D03,鱼香肉丝,晚餐,周一,否,127.0,115.04660156400381,11.953398435996192
2026-04-20,D04,麻婆豆腐,午餐,周一,是,160.0,141.2995124785888,18.70048752141119
2026-04-20,D04,麻婆豆腐,晚餐,周一,是,130.0,121.71881475574305,8.281185244256946
2026-04-20,D05,番茄炒蛋,午餐,周一,否,175.0,158.16296690429738,16.837033095702623
2026-04-20,D05,番茄炒蛋,晚餐,周一,否,150.0,142.47769152264163,7.522308477358365
2026-04-20,D06,青椒土豆丝,午餐,周一,否,145.0,133.09010516916675,11.909894830833252
2026-04-20,D06,青椒土豆丝,晚餐,周一,是,135.0,115.87403025511946,19.125969744880535
2026-04-20,D07,香菇青菜,午餐,周一,否,115.0,100.89053876045851,14.109461239541488
2026-04-20,D07,香菇青菜,晚餐,周一,是,91.0,87.56055655143645,3.4394434485635514
2026-04-20,D08,水煮鸡片,午餐,周一,是,136.0,134.29694841613247,1.7030515838675342
2026-04-20,D08,水煮鸡片,晚餐,周一,是,118.0,103.90999963776383,14.090000362236168
2026-04-20,D09,糖醋里脊,午餐,周一,是,125.0,108.5717283090305,16.428271690969495
2026-04-20,D09,糖醋里脊,晚餐,周一,是,104.0,89.56963459600681,14.430365403993193
2026-04-20,D10,西红柿牛腩,午餐,周一,是,109.0,100.18809635147528,8.81190364852472
2026-04-20,D10,西红柿牛腩,晚餐,周一,是,93.0,86.54902802345573,6.450971976544267
2026-04-21,D01,宫保鸡丁,午餐,周二,否,153.0,159.03524487945188,-6.035244879451881
2026-04-21,D01,宫保鸡丁,晚餐,周二,否,131.0,139.05789384604586,-8.057893846045857
2026-04-21,D02,红烧肉,午餐,周二,是,113.0,118.8725022504056,-5.872502250405603
2026-04-21,D02,红烧肉,晚餐,周二,是,99.0,97.47122163404126,1.5287783659587433
2026-04-21,D03,鱼香肉丝,午餐,周二,否,139.0,159.03524487945188,-20.03524487945188
2026-04-21,D03,鱼香肉丝,晚餐,周二,否,129.0,125.00191337792651,3.9980866220734868
2026-04-21,D04,麻婆豆腐,午餐,周二,否,131.0,154.15437584329248,-23.154375843292485
2026-04-21,D04,麻婆豆腐,晚餐,周二,是,124.0,125.27614203514369,-1.2761420351436925
2026-04-21,D05,番茄炒蛋,午餐,周二,是,173.0,159.03524487945188,13.96475512054812
2026-04-21,D05,番茄炒蛋,晚餐,周二,是,151.0,153.30489551500972,-2.3048955150097186
2026-04-21,D06,青椒土豆丝,午餐,周二,是,143.0,140.64308167546727,2.356918324532728
2026-04-21,D06,青椒土豆丝,晚餐,周二,否,105.0,124.44663978665554,-19.44663978665554
2026-04-21,D07,香菇青菜,午餐,周二,否,107.0,115.65632742614157,-8.656327426141573
2026-04-21,D07,香菇青菜,晚餐,周二,否,82.0,86.30336457163543,-4.303364571635427
2026-04-21,D08,水煮鸡片,午餐,周二,否,130.0,133.5333175361369,-3.533317536136906
2026-04-21,D08,水煮鸡片,晚餐,周二,是,103.0,100.20366237384002,2.796337626159982
2026-04-21,D09,糖醋里脊,午餐,周二,否,119.0,115.31657815244861,3.6834218475513865
2026-04-21,D09,糖醋里脊,晚餐,周二,否,96.0,102.48163004203639,-6.481630042036386
2026-04-21,D10,西红柿牛腩,午餐,周二,否,94.0,100.25672788597909,-6.256727885979089
2026-04-21,D10,西红柿牛腩,晚餐,周二,是,90.0,86.54895576589294,3.4510442341070586
2026-04-22,D01,宫保鸡丁,午餐,周三,是,178.0,148.65290459985016,29.34709540014984
2026-04-22,D01,宫保鸡丁,晚餐,周三,否,132.0,119.97216661564335,12.027833384356654
2026-04-22,D02,红烧肉,午餐,周三,否,125.0,112.37617851278996,12.623821487210037
2026-04-22,D02,红烧肉,晚餐,周三,是,110.0,88.82957571995227,21.170424280047726
2026-04-22,D03,鱼香肉丝,午餐,周三,否,161.0,136.84295999291564,24.157040007084362
2026-04-22,D03,鱼香肉丝,晚餐,周三,否,129.0,107.55524232090752,21.444757679092476
2026-04-22,D04,麻婆豆腐,午餐,周三,是,152.0,137.89122364122687,14.108776358773127
2026-04-22,D04,麻婆豆腐,晚餐,周三,是,139.0,110.50441803861636,28.495581961383635
2026-04-22,D05,番茄炒蛋,午餐,周三,否,175.0,148.30788925502796,26.69211074497204
2026-04-22,D05,番茄炒蛋,晚餐,周三,是,152.0,141.03338084008624,10.966619159913762
2026-04-22,D06,青椒土豆丝,午餐,周三,否,132.0,134.15119654848328,-2.1511965484832842
2026-04-22,D06,青椒土豆丝,晚餐,周三,是,130.0,97.43639617039601,32.56360382960399
2026-04-22,D07,香菇青菜,午餐,周三,是,116.0,97.85716748654092,18.142832513459084
2026-04-22,D07,香菇青菜,晚餐,周三,否,92.0,79.72971505091193,12.270284949088065
