时段,菜品编号,菜品名称,预测需求量,生产批次数(批),备餐量(份),预计销量(份),预计剩余(份),预计缺供(份)
午餐,D01,宫保鸡丁,157,13,156,156,0,1
午餐,D02,红烧肉,108,7,105,105,0,3
午餐,D03,鱼香肉丝,152,13,156,152,4,0
午餐,D04,麻婆豆腐,146,10,150,146,4,0
午餐,D05,番茄炒蛋,174,12,180,174,6,0
午餐,D06,青椒土豆丝,138,9,135,135,0,3
午餐,D07,香菇青菜,113,9,108,108,0,5
午餐,D08,水煮鸡片,128,11,132,128,4,0
午餐,D09,糖醋里脊,111,11,110,110,0,1
午餐,D10,西红柿牛腩,98,6,90,90,0,8
晚餐,D01,宫保鸡丁,135,11,132,132,0,3
晚餐,D02,红烧肉,89,5,75,75,0,14
晚餐,D03,鱼香肉丝,128,10,120,120,0,8
晚餐,D04,麻婆豆腐,132,9,135,132,3,0
晚餐,D05,番茄炒蛋,148,10,150,148,2,0
晚餐,D06,青椒土豆丝,113,7,105,105,0,8
晚餐,D07,香菇青菜,92,7,84,84,0,8
晚餐,D08,水煮鸡片,108,9,108,108,0,0
晚餐,D09,糖醋里脊,96,9,90,90,0,6
晚餐,D10,西红柿牛腩,84,5,75,75,0,9
