菜品编号,时段,样本数,均值(Mean),标准差(Std),偏度(Skewness),峰度(Kurtosis),P5,P10,P25,P50,P75,P90,P95
D01,午餐,50,4.4732,16.7437,-0.285,0.0496,-19.3033,-16.4958,-5.7559,5.0254,16.3236,23.0016,27.3969
D01,晚餐,50,1.303,13.8186,-0.1525,1.2589,-21.6839,-13.3484,-7.4767,2.417,8.8458,16.0871,22.5816
D02,午餐,50,0.3167,10.5635,-0.371,-0.0839,-15.7335,-13.0796,-6.674,1.1799,7.2916,12.7248,16.1792
D02,晚餐,50,-1.8402,9.1455,-0.5768,0.845,-18.2057,-15.1134,-5.8517,0.5398,4.5855,6.8321,7.891
D03,午餐,50,3.1064,17.131,-0.8943,2.8743,-22.0329,-13.9482,-4.6163,4.1337,13.4376,23.8076,24.2421
D03,晚餐,50,1.5604,10.6471,-0.7416,2.0028,-14.7912,-8.6761,-4.3727,1.7894,8.0,15.5706,16.5831
D04,午餐,50,2.589,15.6647,-0.9356,2.041,-26.0852,-15.6907,-5.3329,6.539,12.2702,18.4887,21.2896
D04,晚餐,50,2.1008,10.1266,-0.6142,3.7821,-13.693,-7.3165,-1.1693,1.837,6.7547,12.4583,16.9966
D05,午餐,50,9.0009,18.9779,-0.1735,0.653,-19.3125,-15.5406,-5.7657,11.9742,22.6981,28.2158,31.3134
D05,晚餐,50,2.661,13.5635,-1.0899,3.1001,-17.2695,-8.3792,-5.4037,3.4396,11.2105,17.9937,20.7503
D06,午餐,50,2.4885,16.1785,0.6657,5.9127,-18.8531,-15.7732,-3.252,3.2616,10.9285,13.7805,17.2052
D06,晚餐,50,0.8526,11.8069,-0.7667,3.6824,-16.1439,-10.4699,-5.6999,0.701,8.569,12.3012,16.805
D07,午餐,50,1.1427,10.0408,-0.1736,0.0968,-12.3398,-11.0984,-6.1975,1.0458,8.5536,13.7627,17.0182
D07,晚餐,50,-2.9287,10.1677,-0.6001,1.1135,-23.3796,-16.2144,-7.3588,-1.718,2.9872,8.0414,11.6291
D08,午餐,50,1.0336,13.4297,-1.1125,3.6167,-20.451,-13.5514,-4.5049,1.7878,9.1071,14.4908,16.0876
D08,晚餐,50,0.3203,9.9256,-1.2738,3.8214,-15.0288,-9.5713,-5.1482,0.5851,7.3281,12.3063,13.8331
D09,午餐,50,1.6308,11.3973,-0.6737,1.2562,-15.4156,-10.5086,-4.9439,2.6911,9.25,13.6554,17.7758
D09,晚餐,50,-1.0151,10.2892,-0.6823,2.1383,-16.3473,-10.2713,-6.9201,-1.5139,5.6507,12.0534,13.5562
D10,午餐,50,-0.3434,9.8027,-0.8617,1.5826,-16.6409,-12.3392,-5.4366,0.3815,6.4242,12.1585,13.7521
D10,晚餐,50,-5.3262,9.1132,-0.9556,0.6663,-24.5305,-17.8126,-8.6601,-3.9913,1.1187,3.5494,5.851
